"Creative name","Dimensions (width x height)","Third-party tag","Landing page URL","Expanding direction","Expands on hover (""Yes"" or ""No"")","Requires HTML5 (""Yes"" or ""No"")","Requires MRAID (""Yes"" or ""No"")","Requires ping for attribution (""Yes"" or ""No"")","Integration code (Optional)","Notes (Optional)"
"mundo-cl_v1mp_MOVIL-GENERICA_dis_rtg-1_4990_160x600","160x600","<a href=""${CLICK_URL_ENC}https://www.tumundo.cl/planes-movil/portabilidad-10/?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=movil-generica&utm_term=4990&tc_alt=120402"" target=""_blank""><img src=""https://ppj05.cdnwebcloud.com/mundo_pacifico/2024/01/4990/160x600.jpg"" width=""160"" height=""600""/></a><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_mundo-cl_np_120402.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.tumundo.cl/planes-movil/portabilidad-10/","","No","Yes","No","No","",""
"mundo-cl_v1mp_MOVIL-GENERICA_dis_rtg-1_4990_300x250","300x250","<a href=""${CLICK_URL_ENC}https://www.tumundo.cl/planes-movil/portabilidad-10/?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=movil-generica&utm_term=4990&tc_alt=120403"" target=""_blank""><img src=""https://ppj05.cdnwebcloud.com/mundo_pacifico/2024/01/4990/300x250.jpg"" width=""300"" height=""250""/></a><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_mundo-cl_np_120403.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.tumundo.cl/planes-movil/portabilidad-10/","","No","Yes","No","No","",""
"mundo-cl_v1mp_MOVIL-GENERICA_dis_rtg-1_4990_300x600","300x600","<a href=""${CLICK_URL_ENC}https://www.tumundo.cl/planes-movil/portabilidad-10/?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=movil-generica&utm_term=4990&tc_alt=120404"" target=""_blank""><img src=""https://ppj05.cdnwebcloud.com/mundo_pacifico/2024/01/4990/300x600.jpg"" width=""300"" height=""600""/></a><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_mundo-cl_np_120404.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.tumundo.cl/planes-movil/portabilidad-10/","","No","Yes","No","No","",""
"mundo-cl_v1mp_MOVIL-GENERICA_dis_rtg-1_4990_300x100","300x100","<a href=""${CLICK_URL_ENC}https://www.tumundo.cl/planes-movil/portabilidad-10/?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=movil-generica&utm_term=4990&tc_alt=120405"" target=""_blank""><img src=""https://ppj05.cdnwebcloud.com/mundo_pacifico/2024/01/4990/300x100.jpg"" width=""300"" height=""100""/></a><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_mundo-cl_np_120405.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.tumundo.cl/planes-movil/portabilidad-10/","","No","Yes","No","No","",""
"mundo-cl_v1mp_MOVIL-GENERICA_dis_rtg-1_4990_728x90","728x90","<a href=""${CLICK_URL_ENC}https://www.tumundo.cl/planes-movil/portabilidad-10/?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=movil-generica&utm_term=4990&tc_alt=120406"" target=""_blank""><img src=""https://ppj05.cdnwebcloud.com/mundo_pacifico/2024/01/4990/728x90.jpg"" width=""728"" height=""90""/></a><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_mundo-cl_np_120406.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.tumundo.cl/planes-movil/portabilidad-10/","","No","Yes","No","No","",""
"mundo-cl_v1mp_MOVIL-GENERICA_dis_rtg-1_4990_970x250","970x250","<a href=""${CLICK_URL_ENC}https://www.tumundo.cl/planes-movil/portabilidad-10/?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=movil-generica&utm_term=4990&tc_alt=120407"" target=""_blank""><img src=""https://ppj05.cdnwebcloud.com/mundo_pacifico/2024/01/4990/970x250.jpg"" width=""970"" height=""250""/></a><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_mundo-cl_np_120407.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.tumundo.cl/planes-movil/portabilidad-10/","","No","Yes","No","No","",""
"mundo-cl_v1mp_MOVIL-GENERICA_dis_rtg-1_6995_160x600","160x600","<a href=""${CLICK_URL_ENC}https://www.tumundo.cl/planes-movil/portabilidad-gl-200/?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=movil-generica&utm_term=6995&tc_alt=120408"" target=""_blank""><img src=""https://ppj05.cdnwebcloud.com/mundo_pacifico/2024/01/6995/160x600.jpg"" width=""160"" height=""600""/></a><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_mundo-cl_np_120408.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.tumundo.cl/planes-movil/portabilidad-gl-200/","","No","Yes","No","No","",""
"mundo-cl_v1mp_MOVIL-GENERICA_dis_rtg-1_6995_300x600","300x600","<a href=""${CLICK_URL_ENC}https://www.tumundo.cl/planes-movil/portabilidad-gl-200/?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=movil-generica&utm_term=6995&tc_alt=120410"" target=""_blank""><img src=""https://ppj05.cdnwebcloud.com/mundo_pacifico/2024/01/6995/300x600.jpg"" width=""300"" height=""600""/></a><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_mundo-cl_np_120410.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.tumundo.cl/planes-movil/portabilidad-gl-200/","","No","Yes","No","No","",""
"mundo-cl_v1mp_MOVIL-GENERICA_dis_rtg-1_6995_300x100","300x100","<a href=""${CLICK_URL_ENC}https://www.tumundo.cl/planes-movil/portabilidad-gl-200/?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=movil-generica&utm_term=6995&tc_alt=120411"" target=""_blank""><img src=""https://ppj05.cdnwebcloud.com/mundo_pacifico/2024/01/6995/300x100.jpg"" width=""300"" height=""100""/></a><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_mundo-cl_np_120411.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.tumundo.cl/planes-movil/portabilidad-gl-200/","","No","Yes","No","No","",""
"mundo-cl_v1mp_MOVIL-GENERICA_dis_rtg-1_6995_728x90","728x90","<a href=""${CLICK_URL_ENC}https://www.tumundo.cl/planes-movil/portabilidad-gl-200/?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=movil-generica&utm_term=6995&tc_alt=120412"" target=""_blank""><img src=""https://ppj05.cdnwebcloud.com/mundo_pacifico/2024/01/6995/728x90.jpg"" width=""728"" height=""90""/></a><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_mundo-cl_np_120412.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.tumundo.cl/planes-movil/portabilidad-gl-200/","","No","Yes","No","No","",""
