"Creative name","Dimensions (width x height)","Third-party tag","Landing page URL","Expanding direction","Expands on hover (""Yes"" or ""No"")","Requires HTML5 (""Yes"" or ""No"")","Requires MRAID (""Yes"" or ""No"")","Requires ping for attribution (""Yes"" or ""No"")","Integration code (Optional)","Notes (Optional)"
"aecc-es_v1mp_AO-DONACION_dis-prem_prs-1_JULIO-24_300x250","300x250","<iframe src=""https://ppj05.cdnwebcloud.com/AECC/2024/07/donacion/300x250/index.html?n_o_ct=${CLICK_URL}&link=https://colabora.contraelcancer.es/dona?utm_source=v1mp&utm_medium=dis-prem-prs-1&utm_campaign=ao-donacion&utm_content=300x250&tc_alt=138953"" width=""300"" height=""250"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_AECC.js?tc=138953&n_o_ord=${CACHEBUSTER}""></script>","https://colabora.contraelcancer.es/dona","","No","Yes","No","No","",""
"aecc-es_v1mp_AO-DONACION_dis-prem_prs-1_JULIO-24_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AECC/2024/07/donacion/300x600/index.html?n_o_ct=${CLICK_URL}&link=https://colabora.contraelcancer.es/dona?utm_source=v1mp&utm_medium=dis-prem-prs-1&utm_campaign=ao-donacion&utm_content=300x600&tc_alt=138954"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_AECC.js?tc=138954&n_o_ord=${CACHEBUSTER}""></script>","https://colabora.contraelcancer.es/dona","","No","Yes","No","No","",""
"aecc-es_v1mp_AO-DONACION_dis-prem_prs-1_JULIO-24_728x90","728x90","<iframe src=""https://ppj05.cdnwebcloud.com/AECC/2024/07/donacion/728x90/index.html?n_o_ct=${CLICK_URL}&link=https://colabora.contraelcancer.es/dona?utm_source=v1mp&utm_medium=dis-prem-prs-1&utm_campaign=ao-donacion&utm_content=728x90&tc_alt=138955"" width=""728"" height=""90"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_AECC.js?tc=138955&n_o_ord=${CACHEBUSTER}""></script>","https://colabora.contraelcancer.es/dona","","No","Yes","No","No","",""
"aecc-es_v1mp_AO-DONACION_dis-prem_prs-1_JULIO-24_970x250","970x250","<iframe src=""https://ppj05.cdnwebcloud.com/AECC/2024/07/donacion/970x250/index.html?n_o_ct=${CLICK_URL}&link=https://colabora.contraelcancer.es/dona?utm_source=v1mp&utm_medium=dis-prem-prs-1&utm_campaign=ao-donacion&utm_content=970x250&tc_alt=138956"" width=""970"" height=""250"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_AECC.js?tc=138956&n_o_ord=${CACHEBUSTER}""></script>","https://colabora.contraelcancer.es/dona","","No","Yes","No","No","",""
"aecc-es_v1mp_AO-DONACION_dis-prem_prs-1_JULIO-24_160x600","160x600","<iframe src=""https://ppj05.cdnwebcloud.com/AECC/2024/07/donacion/160x600/index.html?n_o_ct=${CLICK_URL}&link=https://colabora.contraelcancer.es/dona?utm_source=v1mp&utm_medium=dis-prem-prs-1&utm_campaign=ao-donacion&utm_content=160x600&tc_alt=138957"" width=""160"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_AECC.js?tc=138957&n_o_ord=${CACHEBUSTER}""></script>","https://colabora.contraelcancer.es/dona","","No","Yes","No","No","",""
"aecc-es_v1mp_AO-DONACION_dis-prem_prs-1_JULIO-24_320x100","320x100","<iframe src=""https://ppj05.cdnwebcloud.com/AECC/2024/07/donacion/320x100/index.html?n_o_ct=${CLICK_URL}&link=https://colabora.contraelcancer.es/dona?utm_source=v1mp&utm_medium=dis-prem-prs-1&utm_campaign=ao-donacion&utm_content=320x100&tc_alt=138958"" width=""320"" height=""100"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_AECC.js?tc=138958&n_o_ord=${CACHEBUSTER}""></script>","https://colabora.contraelcancer.es/dona","","No","Yes","No","No","",""
"aecc-es_v1mp_AO-SOCIOS_dis_prs-1_JULIO-24_970x250","970x250","<iframe src=""https://ppj05.cdnwebcloud.com/AECC/2024/07/socios/970x250/index.html?n_o_ct=${CLICK_URL}&link=https://colabora.contraelcancer.es/socios?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=ao-socios&utm_content=970x250&tc_alt=138959"" width=""970"" height=""250"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_AECC.js?tc=138959&n_o_ord=${CACHEBUSTER}""></script>","https://colabora.contraelcancer.es/socios","","No","Yes","No","No","",""
"aecc-es_v1mp_AO-SOCIOS_dis_prs-1_JULIO-24_728x90","728x90","<iframe src=""https://ppj05.cdnwebcloud.com/AECC/2024/07/socios/728x90/index.html?n_o_ct=${CLICK_URL}&link=https://colabora.contraelcancer.es/socios?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=ao-socios&utm_content=728x90&tc_alt=138960"" width=""728"" height=""90"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_AECC.js?tc=138960&n_o_ord=${CACHEBUSTER}""></script>","https://colabora.contraelcancer.es/socios","","No","Yes","No","No","",""
"aecc-es_v1mp_AO-SOCIOS_dis_prs-1_JULIO-24_320x100","320x100","<iframe src=""https://ppj05.cdnwebcloud.com/AECC/2024/07/socios/320x100/index.html?n_o_ct=${CLICK_URL}&link=https://colabora.contraelcancer.es/socios?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=ao-socios&utm_content=320x100&tc_alt=138961"" width=""320"" height=""100"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_AECC.js?tc=138961&n_o_ord=${CACHEBUSTER}""></script>","https://colabora.contraelcancer.es/socios","","No","Yes","No","No","",""
"aecc-es_v1mp_AO-SOCIOS_dis_prs-1_JULIO-24_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AECC/2024/07/socios/300x600/index.html?n_o_ct=${CLICK_URL}&link=https://colabora.contraelcancer.es/socios?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=ao-socios&utm_content=300x600&tc_alt=138962"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_AECC.js?tc=138962&n_o_ord=${CACHEBUSTER}""></script>","https://colabora.contraelcancer.es/socios","","No","Yes","No","No","",""
