"Creative name","Dimensions (width x height)","Third-party tag","Landing page URL","Expanding direction","Expands on hover (""Yes"" or ""No"")","Requires HTML5 (""Yes"" or ""No"")","Requires MRAID (""Yes"" or ""No"")","Requires ping for attribution (""Yes"" or ""No"")","Integration code (Optional)","Notes (Optional)"
"insotel-de_v1mp_AO_dis_prs-1_BLACKFRIDAY_300x250","300x250","<iframe src=""https://ppj05.cdnwebcloud.com/INSOTEL/2024/11/bf/de/300x250/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://www.insotelhotelgroup.com/de?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=ao&utm_term=de&tc_alt=151967"" width=""300"" height=""250"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_Insotel%20Hotel%20group.js?tc=151967&n_o_ord=${CACHEBUSTER}""></script>","https://www.insotelhotelgroup.com/de","","No","Yes","No","No","",""
"insotel-de_v1mp_AO_dis_prs-1_BLACKFRIDAY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/INSOTEL/2024/11/bf/de/300x600/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://www.insotelhotelgroup.com/de?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=ao&utm_term=de&tc_alt=151968"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_Insotel%20Hotel%20group.js?tc=151968&n_o_ord=${CACHEBUSTER}""></script>","https://www.insotelhotelgroup.com/de","","No","Yes","No","No","",""
"insotel-de_v1mp_AO_dis_prs-1_BLACKFRIDAY_320x100","320x100","<iframe src=""https://ppj05.cdnwebcloud.com/INSOTEL/2024/11/bf/de/320x100/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://www.insotelhotelgroup.com/de?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=ao&utm_term=de&tc_alt=151969"" width=""320"" height=""100"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_Insotel%20Hotel%20group.js?tc=151969&n_o_ord=${CACHEBUSTER}""></script>","https://www.insotelhotelgroup.com/de","","No","Yes","No","No","",""
"insotel-de_v1mp_AO_dis_prs-1_BLACKFRIDAY_970x250","970x250","<iframe src=""https://ppj05.cdnwebcloud.com/INSOTEL/2024/11/bf/de/970x250/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://www.insotelhotelgroup.com/de?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=ao&utm_term=de&tc_alt=151970"" width=""970"" height=""250"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_Insotel%20Hotel%20group.js?tc=151970&n_o_ord=${CACHEBUSTER}""></script>","https://www.insotelhotelgroup.com/de","","No","Yes","No","No","",""
"insotel-de_v1mp_AO_dis_prs-1_BLACKFRIDAY_728x90","728x90","<iframe src=""https://ppj05.cdnwebcloud.com/INSOTEL/2024/11/bf/de/728x90/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://www.insotelhotelgroup.com/de?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=ao&utm_term=de&tc_alt=151971"" width=""728"" height=""90"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_Insotel%20Hotel%20group.js?tc=151971&n_o_ord=${CACHEBUSTER}""></script>","https://www.insotelhotelgroup.com/de","","No","Yes","No","No","",""
"insotel-de_v1mp_AO_dis_prs-1_BLACKFRIDAY_160x600","160x600","<iframe src=""https://ppj05.cdnwebcloud.com/INSOTEL/2024/11/bf/de/160x600/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://www.insotelhotelgroup.com/de?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=ao&utm_term=de&tc_alt=151972"" width=""160"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_Insotel%20Hotel%20group.js?tc=151972&n_o_ord=${CACHEBUSTER}""></script>","https://www.insotelhotelgroup.com/de","","No","Yes","No","No","",""
"insotel-de_v1mp_AO_dis_rtg-1_BLACKFRIDAY_300x250","300x250","<iframe src=""https://ppj05.cdnwebcloud.com/INSOTEL/2024/11/bf/de/300x250/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://www.insotelhotelgroup.com/de?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=ao&utm_term=de&tc_alt=151973"" width=""300"" height=""250"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_Insotel%20Hotel%20group.js?tc=151973&n_o_ord=${CACHEBUSTER}""></script>","https://www.insotelhotelgroup.com/de","","No","Yes","No","No","",""
"insotel-de_v1mp_AO_dis_rtg-1_BLACKFRIDAY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/INSOTEL/2024/11/bf/de/300x600/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://www.insotelhotelgroup.com/de?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=ao&utm_term=de&tc_alt=151974"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_Insotel%20Hotel%20group.js?tc=151974&n_o_ord=${CACHEBUSTER}""></script>","https://www.insotelhotelgroup.com/de","","No","Yes","No","No","",""
"insotel-de_v1mp_AO_dis_rtg-1_BLACKFRIDAY_320x100","320x100","<iframe src=""https://ppj05.cdnwebcloud.com/INSOTEL/2024/11/bf/de/320x100/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://www.insotelhotelgroup.com/de?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=ao&utm_term=de&tc_alt=151975"" width=""320"" height=""100"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_Insotel%20Hotel%20group.js?tc=151975&n_o_ord=${CACHEBUSTER}""></script>","https://www.insotelhotelgroup.com/de","","No","Yes","No","No","",""
"insotel-de_v1mp_AO_dis_rtg-1_BLACKFRIDAY_970x250","970x250","<iframe src=""https://ppj05.cdnwebcloud.com/INSOTEL/2024/11/bf/de/970x250/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://www.insotelhotelgroup.com/de?utm_source=v1mp&utm_medium=dis-rtg-1&utm_campaign=ao&utm_term=de&tc_alt=151976"" width=""970"" height=""250"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_Insotel%20Hotel%20group.js?tc=151976&n_o_ord=${CACHEBUSTER}""></script>","https://www.insotelhotelgroup.com/de","","No","Yes","No","No","",""
