"Creative name","Dimensions (width x height)","Third-party tag","Landing page URL","Expanding direction","Expands on hover (""Yes"" or ""No"")","Requires HTML5 (""Yes"" or ""No"")","Requires MRAID (""Yes"" or ""No"")","Requires ping for attribution (""Yes"" or ""No"")","Integration code (Optional)","Notes (Optional)"
"h10-gb_v1mp_AO_dis_prs-1_EB_24_970x250","970x250","<iframe src=""https://ppj05.cdnwebcloud.com/H10/2024/1/early_booking/en/970x250/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://neural15.cdnwebcloud.com/atc?tc=120714&n_o_p=v1mp&n_o_ord=&${CACHEBUSTER}&url_n_o=https://www.h10hotels.com/en?&utm_medium=dis-prs-1&utm_campaign=ao&tc_alt=120714"" width=""970"" height=""250"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_h10-hotels-es_np_120714.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.h10hotels.com/en","","No","Yes","No","No","",""
"h10-gb_v1mp_AO_dis_prs-1_EB_24_728x90","728x90","<iframe src=""https://ppj05.cdnwebcloud.com/H10/2024/1/early_booking/en/728x90/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://neural15.cdnwebcloud.com/atc?tc=120715&n_o_p=v1mp&n_o_ord=&${CACHEBUSTER}&url_n_o=https://www.h10hotels.com/en?&utm_medium=dis-prs-1&utm_campaign=ao&tc_alt=120715"" width=""728"" height=""90"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_h10-hotels-es_np_120715.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.h10hotels.com/en","","No","Yes","No","No","",""
"h10-gb_v1mp_AO_dis_prs-1_EB_24_320x100","320x100","<iframe src=""https://ppj05.cdnwebcloud.com/H10/2024/1/early_booking/en/320x100/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://neural15.cdnwebcloud.com/atc?tc=120716&n_o_p=v1mp&n_o_ord=&${CACHEBUSTER}&url_n_o=https://www.h10hotels.com/en?&utm_medium=dis-prs-1&utm_campaign=ao&tc_alt=120716"" width=""320"" height=""100"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_h10-hotels-es_np_120716.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.h10hotels.com/en","","No","Yes","No","No","",""
"h10-gb_v1mp_AO_dis_prs-1_EB_24_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/H10/2024/1/early_booking/en/300x600/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://neural15.cdnwebcloud.com/atc?tc=120717&n_o_p=v1mp&n_o_ord=&${CACHEBUSTER}&url_n_o=https://www.h10hotels.com/en?&utm_medium=dis-prs-1&utm_campaign=ao&tc_alt=120717"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_h10-hotels-es_np_120717.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.h10hotels.com/en","","No","Yes","No","No","",""
"h10-gb_v1mp_AO_dis_prs-1_EB_24_300x250","300x250","<iframe src=""https://ppj05.cdnwebcloud.com/H10/2024/1/early_booking/en/300x250/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://neural15.cdnwebcloud.com/atc?tc=120718&n_o_p=v1mp&n_o_ord=&${CACHEBUSTER}&url_n_o=https://www.h10hotels.com/en?&utm_medium=dis-prs-1&utm_campaign=ao&tc_alt=120718"" width=""300"" height=""250"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_h10-hotels-es_np_120718.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.h10hotels.com/en","","No","Yes","No","No","",""
"h10-gb_v1mp_AO_dis_prs-1_EB_24_160x600","160x600","<iframe src=""https://ppj05.cdnwebcloud.com/H10/2024/1/early_booking/en/160x600/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://neural15.cdnwebcloud.com/atc?tc=120719&n_o_p=v1mp&n_o_ord=&${CACHEBUSTER}&url_n_o=https://www.h10hotels.com/en?&utm_medium=dis-prs-1&utm_campaign=ao&tc_alt=120719"" width=""160"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_h10-hotels-es_np_120719.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.h10hotels.com/en","","No","Yes","No","No","",""
"h10-gb_v1mp_AO_dis_rtg-1_EB_24_970x250","970x250","<iframe src=""https://ppj05.cdnwebcloud.com/H10/2024/1/early_booking/en/970x250/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://neural15.cdnwebcloud.com/atc?tc=120720&n_o_p=v1mp&n_o_ord=&${CACHEBUSTER}&url_n_o=https://www.h10hotels.com/en?&utm_medium=dis-rtg-1&utm_campaign=ao&tc_alt=120720"" width=""970"" height=""250"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_h10-hotels-es_np_120720.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.h10hotels.com/en","","No","Yes","No","No","",""
"h10-gb_v1mp_AO_dis_rtg-1_EB_24_728x90","728x90","<iframe src=""https://ppj05.cdnwebcloud.com/H10/2024/1/early_booking/en/728x90/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://neural15.cdnwebcloud.com/atc?tc=120721&n_o_p=v1mp&n_o_ord=&${CACHEBUSTER}&url_n_o=https://www.h10hotels.com/en?&utm_medium=dis-rtg-1&utm_campaign=ao&tc_alt=120721"" width=""728"" height=""90"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_h10-hotels-es_np_120721.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.h10hotels.com/en","","No","Yes","No","No","",""
"h10-gb_v1mp_AO_dis_rtg-1_EB_24_320x100","320x100","<iframe src=""https://ppj05.cdnwebcloud.com/H10/2024/1/early_booking/en/320x100/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://neural15.cdnwebcloud.com/atc?tc=120722&n_o_p=v1mp&n_o_ord=&${CACHEBUSTER}&url_n_o=https://www.h10hotels.com/en?&utm_medium=dis-rtg-1&utm_campaign=ao&tc_alt=120722"" width=""320"" height=""100"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_h10-hotels-es_np_120722.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.h10hotels.com/en","","No","Yes","No","No","",""
"h10-gb_v1mp_AO_dis_rtg-1_EB_24_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/H10/2024/1/early_booking/en/300x600/index.html?n_o_ct=${CLICK_URL_ENC}&link=https://neural15.cdnwebcloud.com/atc?tc=120723&n_o_p=v1mp&n_o_ord=&${CACHEBUSTER}&url_n_o=https://www.h10hotels.com/en?&utm_medium=dis-rtg-1&utm_campaign=ao&tc_alt=120723"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_h10-hotels-es_np_120723.js?n_o_nu=not&n_o_ord=${CACHEBUSTER}""></script>","https://www.h10hotels.com/en","","No","Yes","No","No","",""
