"Creative name","Dimensions (width x height)","Third-party tag","Landing page URL","Expanding direction","Expands on hover (""Yes"" or ""No"")","Requires HTML5 (""Yes"" or ""No"")","Requires MRAID (""Yes"" or ""No"")","Requires ping for attribution (""Yes"" or ""No"")","Integration code (Optional)","Notes (Optional)"
"amresorts-eu_v1mp_AO-ZOETRY_dis_prs-1_WAW_ABRIL_STORY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AM_RESORTS/2024/04/waw/premium_prs/zoetry/adstory/eu/300x600/index.html?n_o_ct=${CLICK}&link=https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=AO-zoetry&utm_term=WAW_Abril_Story&utm_content=300x600&tc_alt=130203"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_amr-collection-es_np_130203.js?n_o_nu=not&n_o_ord=[CACHEBUSTER]""></script>","https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend","","No","Yes","No","No","",""
"amresorts-eu_v1mp_AO-ALUA_dis_prs-1_WAW_ABRIL_STORY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AM_RESORTS/2024/04/waw/premium_prs/alua/adstory/eu/300x600/index.html?n_o_ct=${CLICK}&link=https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=AO-alua&utm_term=WAW_Abril_Story&utm_content=300x600&tc_alt=130205"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_amr-collection-es_np_130205.js?n_o_nu=not&n_o_ord=[CACHEBUSTER]""></script>","https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend","","No","Yes","No","No","",""
"amresorts-eu_v1mp_AO-DREAMS_dis_prs-1_WAW_ABRIL_STORY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AM_RESORTS/2024/04/waw/premium_prs/dreams/adstory/eu/300x600/index.html?n_o_ct=${CLICK}&link=https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=AO-dreams&utm_term=WAW_Abril_Story&utm_content=300x600&tc_alt=130207"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_amr-collection-es_np_130207.js?n_o_nu=not&n_o_ord=[CACHEBUSTER]""></script>","https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend","","No","Yes","No","No","",""
"amresorts-eu_v1mp_AO-SECRETS_dis_prs-1_WAW_ABRIL_STORY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AM_RESORTS/2024/04/waw/premium_prs/secrets/adstory/eu/300x600/index.html?n_o_ct=${CLICK}&link=https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=AO-secrets&utm_term=WAW_Abril_Story&utm_content=300x600&tc_alt=130209"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_amr-collection-es_np_130209.js?n_o_nu=not&n_o_ord=[CACHEBUSTER]""></script>","https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend","","No","Yes","No","No","",""
"amresorts-es_v1mp_AO-ZOETRY_dis_prs-1_WAW_ABRIL_STORY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AM_RESORTS/2024/04/waw/premium_prs/zoetry/adstory/es/300x600/index.html?n_o_ct=${CLICK}&link=https://resorts.hyattinclusivecollection.com/es-es/what-a-weekend?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=AO-zoetry&utm_term=WAW_Abril_Story&utm_content=300x600&tc_alt=130211"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_amr-collection-es_np_130211.js?n_o_nu=not&n_o_ord=[CACHEBUSTER]""></script>","https://resorts.hyattinclusivecollection.com/es-es/what-a-weekend","","No","Yes","No","No","",""
"amresorts-es_v1mp_AO-ALUA_dis_prs-1_WAW_ABRIL_STORY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AM_RESORTS/2024/04/waw/premium_prs/alua/adstory/es/300x600/index.html?n_o_ct=${CLICK}&link=https://resorts.hyattinclusivecollection.com/es-es/what-a-weekend?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=AO-alua&utm_term=WAW_Abril_Story&utm_content=300x600&tc_alt=130213"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_amr-collection-es_np_130213.js?n_o_nu=not&n_o_ord=[CACHEBUSTER]""></script>","https://resorts.hyattinclusivecollection.com/es-es/what-a-weekend","","No","Yes","No","No","",""
"amresorts-es_v1mp_AO-DREAMS_dis_prs-1_WAW_ABRIL_STORY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AM_RESORTS/2024/04/waw/premium_prs/dreams/adstory/es/300x600/index.html?n_o_ct=${CLICK}&link=https://resorts.hyattinclusivecollection.com/es-es/what-a-weekend?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=AO-dreams&utm_term=WAW_Abril_Story&utm_content=300x600&tc_alt=130215"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_amr-collection-es_np_130215.js?n_o_nu=not&n_o_ord=[CACHEBUSTER]""></script>","https://resorts.hyattinclusivecollection.com/es-es/what-a-weekend","","No","Yes","No","No","",""
"amresorts-es_v1mp_AO-SECRETS_dis_prs-1_WAW_ABRIL_STORY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AM_RESORTS/2024/04/waw/premium_prs/secrets/adstory/es/300x600/index.html?n_o_ct=${CLICK}&link=https://resorts.hyattinclusivecollection.com/es-es/what-a-weekend?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=AO-secrets&utm_term=WAW_Abril_Story&utm_content=300x600&tc_alt=130217"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_amr-collection-es_np_130217.js?n_o_nu=not&n_o_ord=[CACHEBUSTER]""></script>","https://resorts.hyattinclusivecollection.com/es-es/what-a-weekend","","No","Yes","No","No","",""
"amresorts-gb_v1mp_AO-ZOETRY_dis_prs-1_WAW_ABRIL_STORY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AM_RESORTS/2024/04/waw/premium_prs/zoetry/adstory/en/300x600/index.html?n_o_ct=${CLICK}&link=https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=AO-zoetry&utm_term=WAW_Abril_Story&utm_content=300x600&tc_alt=130219"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_amr-collection-es_np_130219.js?n_o_nu=not&n_o_ord=[CACHEBUSTER]""></script>","https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend","","No","Yes","No","No","",""
"amresorts-gb_v1mp_AO-ALUA_dis_prs-1_WAW_ABRIL_STORY_300x600","300x600","<iframe src=""https://ppj05.cdnwebcloud.com/AM_RESORTS/2024/04/waw/premium_prs/alua/adstory/en/300x600/index.html?n_o_ct=${CLICK}&link=https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend?utm_source=v1mp&utm_medium=dis-prs-1&utm_campaign=AO-alua&utm_term=WAW_Abril_Story&utm_content=300x600&tc_alt=130221"" width=""300"" height=""600"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0""></iframe><script type=""text/javascript"" src=""//bucket.cdnwebcloud.com/n_one_vway_amr-collection-es_np_130221.js?n_o_nu=not&n_o_ord=[CACHEBUSTER]""></script>","https://resorts.hyattinclusivecollection.com/en-uk/what-a-weekend","","No","Yes","No","No","",""
