
channel_name;channel_id;publisher_name;publisher_id;strategy_name;strategy_id;lineitem_name;lineitem_id;campaign_name;campaign_id;model_name;model_id
EMAIL;1516;LIGAT;16891;BBDD Pioneiros;2283;LIGAT_Email_BBDD-Pioneiros_Always-on;30284;standard;3720;;
SEM Paid;1485;V1MP;16841;BBDD Embaixadores;2282;LIGAT_Email_BBDD-Embaixadores_Always-on;30283;pioneiros;3721;;
Social Paid;1484;;;BBDD Standard;2281;LIGAT_Email_BBDD-Standard_Always-on;30282;embaixadores;3722;;
Native;1483;;;Retargeting;2264;ligat-pt_v1mp_STANDARD_dis_prs-21;30192;Marca-AO;3723;;
Display;1482;;;Prospecting;2253;ligat-pt_v1mp_STANDARD_dis_rtg-1;30134;Marca-Frase-AO;3724;;
;;;;;;ligat-pt_v1mp_PIONEIROS_nat_prs-21;29709;Marca-Generica-AO;3725;;
;;;;;;ligat-pt_v1mp_EMBAIXADORES_nat_prs-21;29708;Generica-AO;3726;;
;;;;;;ligat-pt_v1mp_GENERICA-AO_sem;29696;Always on;3814;;
;;;;;;ligat-pt_v1mp_MARCA-GENERICA-AO_sem;29695;;;;
;;;;;;ligat-pt_v1mp_MARCA-FRASE-AO_sem;29694;;;;
;;;;;;ligat-pt_v1mp_MARCA-AO_sem;29693;;;;
;;;;;;ligat-pt_v1mp_STANDARD_soc-fb_prs-40;29692;;;;
;;;;;;ligat-pt_v1mp_PIONEROS_soc-fb_prs-40;29691;;;;
;;;;;;ligat-pt_v1mp_EMBAIXADORES_soc-fb_prs-40;29690;;;;
;;;;;;ligat-pt_v1mp_STANDARD_nat_prs-21;29676;;;;
;;;;;;ligat-pt_v1mp_EMBAIXADORES_dis_prs-1;29675;;;;
;;;;;;ligat-pt_v1mp_PIONEIROS_dis_prs-1;29674;;;;
;;;;;;ligat-pt_v1mp_STANDARD_dis_prs-1;29673;;;;
