trackingcode_name;awareness_type;publisher;publisher_id;campaign;campaign_id;model;model_id;placement_id;lineitem_id;new_lineitem_name;channel;channel_id;strategy;strategy_id;retargeting;sem_type;bulk_prospecting
educo-es_v1mp_BECAS-COMEDOR_dis_prs-1_VERANO24_300x250;;;16926;;3379;;;;31180;;;741;;1456;;;
educo-es_v1mp_BECAS-COMEDOR_dis_prs-1_VERANO24_300x600;;;16926;;3379;;;;31180;;;741;;1456;;;
educo-es_v1mp_BECAS-COMEDOR_dis_prs-1_VERANO24_320x100;;;16926;;3379;;;;31180;;;741;;1456;;;
educo-es_v1mp_BECAS-COMEDOR_dis_prs-1_VERANO24_160x600;;;16926;;3379;;;;31180;;;741;;1456;;;
educo-es_v1mp_BECAS-COMEDOR_dis_prs-1_VERANO24_970x250;;;16926;;3379;;;;31180;;;741;;1456;;;
educo-es_v1mp_BECAS-COMEDOR_dis_prs-1_VERANO24_728x90;;;16926;;3379;;;;31180;;;741;;1456;;;
educo-es_v1mp_BECAS-COMEDOR_dis_rtg-1_VERANO24_300x250;;;16926;;3379;;;;31181;;;741;;1460;;;
educo-es_v1mp_BECAS-COMEDOR_dis_rtg-1_VERANO24_300x600;;;16926;;3379;;;;31181;;;741;;1460;;;
educo-es_v1mp_BECAS-COMEDOR_dis_rtg-1_VERANO24_320x100;;;16926;;3379;;;;31181;;;741;;1460;;;
educo-es_v1mp_BECAS-COMEDOR_dis_rtg-1_VERANO24_160x600;;;16926;;3379;;;;31181;;;741;;1460;;;
educo-es_v1mp_BECAS-COMEDOR_dis_rtg-1_VERANO24_970x250;;;16926;;3379;;;;31181;;;741;;1460;;;
educo-es_v1mp_BECAS-COMEDOR_dis_rtg-1_VERANO24_728x90;;;16926;;3379;;;;31181;;;741;;1460;;;
educo-es_v1mp_BECAS-COMEDOR_dis_prs-1_3D-VERANO24_970x250;;;16926;;3379;;;;31180;;;741;;1456;;;
educo-es_v1mp_BECAS-COMEDOR_dis_prs-1_3D-VERANO24_300x600;;;16926;;3379;;;;31180;;;741;;1456;;;
